AAJM01,Bacillus thuringiensis serovar israelensis ATCC 35646,Bacillus thuringiensis
ALIA01,Salmonella enterica subsp. enterica serovar Enteritidis str. 50-5646,Salmonella enterica
ALIB01,Salmonella enterica subsp. enterica serovar Enteritidis str. 81-2625,Salmonella enterica
ALIC01,Salmonella enterica subsp. enterica serovar Enteritidis str. 62-1976,Salmonella enterica
ALID01,Salmonella enterica subsp. enterica serovar Enteritidis str. 53-407,Salmonella enterica
ALJA02,Burkholderia cenocepacia K56-2Valvano,Burkholderia cenocepacia
AMDX02,Salmonella enterica subsp. enterica serovar Typhimurium str. STm1,Salmonella enterica
AMDY01,Salmonella enterica subsp. enterica serovar Typhimurium str. STm2,Salmonella enterica
AMDZ02,Salmonella enterica subsp. enterica serovar Typhimurium str. STm8,Salmonella enterica
AMEA02,Salmonella enterica subsp. enterica serovar Typhimurium str. STm9,Salmonella enterica
AMEB02,Salmonella enterica subsp. enterica serovar Typhimurium str. STm3,Salmonella enterica
AMEC02,Salmonella enterica subsp. enterica serovar Typhimurium str. STm4,Salmonella enterica
AMED02,Salmonella enterica subsp. enterica serovar Typhimurium str. STm6,Salmonella enterica
AMEE02,Salmonella enterica subsp. enterica serovar Typhimurium str. STm10,Salmonella enterica
AMEF02,Salmonella enterica subsp. enterica serovar Typhimurium str. STm11,Salmonella enterica
AMEG02,Salmonella enterica subsp. enterica serovar Typhimurium str. STm12,Salmonella enterica
AMEH02,Salmonella enterica subsp. enterica serovar Typhimurium str. STm5,Salmonella enterica
AMUH01,Escherichia coli CB7326,Escherichia coli
AMVR01,Escherichia coli O104:H4 str. 11-02030,Escherichia coli
AMVS01,Escherichia coli O104:H4 str. 11-02033-1,Escherichia coli
AMVT01,Escherichia coli O104:H4 str. 11-02092,Escherichia coli
AMVU01,Escherichia coli O104:H4 str. 11-02093,Escherichia coli
AMVV01,Escherichia coli O104:H4 str. 11-02281,Escherichia coli
AMVW01,Escherichia coli O104:H4 str. 11-02318,Escherichia coli
AMVX01,Escherichia coli O104:H4 str. 11-02913,Escherichia coli
AMVY01,Escherichia coli O104:H4 str. 11-03439,Escherichia coli
AMVZ01,Escherichia coli O104:H4 str. 11-04080,Escherichia coli
AMWA01,Escherichia coli O104:H4 str. 11-03943,Escherichia coli
ANGD01,Pseudomonas syringae pv. actinidiae ICMP 18744,Pseudomonas syringae
ANGO01,Campylobacter jejuni subsp. jejuni BIGS0004,Campylobacter jejuni
ANGX01,Campylobacter jejuni subsp. jejuni BIGS0013,Campylobacter jejuni
ANGY01,Campylobacter jejuni subsp. jejuni BIGS0014,Campylobacter jejuni
ANHG01,Campylobacter jejuni subsp. jejuni BIGS0022,Campylobacter jejuni
ANHK01,Campylobacter jejuni subsp. jejuni BIGS0030,Campylobacter jejuni
ANJB01,Pseudomonas syringae pv. actinidiae ICMP 9853,Pseudomonas syringae
ANJC01,Pseudomonas syringae pv. actinidiae ICMP 18708,Pseudomonas syringae
ANJD01,Pseudomonas syringae pv. actinidiae ICMP 18800,Pseudomonas syringae
ANJD01 ,Pseudomonas syringae pv. actinidiae ICMP 18800,Pseudomonas syringae
ANJG01,Pseudomonas syringae pv. actinidiae TP1,Pseudomonas syringae
ANJH01,Pseudomonas syringae pv. actinidiae TP6-1,Pseudomonas syringae
ANJI02,Pseudomonas syringae pv. actinidiae str. Shaanxi_M228,Pseudomonas syringae
ANJJ01,Pseudomonas syringae pv. actinidiae str. Shaanxi_M7,Pseudomonas syringae
ANJK01,Pseudomonas syringae pv. actinidiae ICMP 19455,Pseudomonas syringae
ANJM01,Pseudomonas syringae pv. actinidiae ICMP 19439,Pseudomonas syringae
AOGG01,Salmonella enterica subsp. enterica serovar Newport str. JS09102,Salmonella enterica
AOGH01,Salmonella enterica subsp. enterica serovar Newport str. Henan_3,Salmonella enterica
AOGI01,Salmonella enterica subsp. enterica serovar Newport str. Shandong_3,Salmonella enterica
AOGJ01,Salmonella enterica subsp. enterica serovar Newport str. SH111077,Salmonella enterica
AOJQ01,Pseudomonas syringae pv. actinidiae ICMP 19103,Pseudomonas syringae
AOJR01,Pseudomonas syringae pv. actinidiae ICMP 19073,Pseudomonas syringae
AOJS01,Pseudomonas syringae pv. actinidiae ICMP 19071,Pseudomonas syringae
AOJT01,Pseudomonas syringae pv. actinidiae ICMP 18886,Pseudomonas syringae
AOJU01,Pseudomonas syringae pv. actinidiae ICMP 18804,Pseudomonas syringae
AOJW01,Pseudomonas syringae pv. actinidiae ICMP 19072,Pseudomonas syringae
AOJX01,Pseudomonas syringae pv. actinidiae ICMP 19068,Pseudomonas syringae
AOJY01,Pseudomonas syringae pv. actinidiae ICMP 19070,Pseudomonas syringae
AOJZ01,Pseudomonas syringae pv. actinidiae ICMP 19104,Pseudomonas syringae
AOKA01,Pseudomonas syringae pv. actinidiae ICMP 19102,Pseudomonas syringae
AOKB01,Pseudomonas syringae pv. actinidiae ICMP 9855,Pseudomonas syringae
AOKC01,Pseudomonas syringae pv. actinidiae ICMP 19100,Pseudomonas syringae
AOKD01,Pseudomonas syringae pv. actinidiae ICMP 19099,Pseudomonas syringae
AOKE01,Pseudomonas syringae pv. actinidiae ICMP 19098,Pseudomonas syringae
AOKF01,Pseudomonas syringae pv. actinidiae ICMP 19096,Pseudomonas syringae
AOKG01,Pseudomonas syringae pv. actinidiae ICMP 18807,Pseudomonas syringae
AOKH01,Pseudomonas syringae pv. actinidiae ICMP 18883,Pseudomonas syringae
AOKI01,Pseudomonas syringae pv. actinidiae ICMP 19095,Pseudomonas syringae
AOKJ01,Pseudomonas syringae pv. actinidiae ICMP 19094,Pseudomonas syringae
AOKL01,Pseudomonas syringae pv. actinidiae ICMP 19079,Pseudomonas syringae
AOKM01,Pseudomonas syringae pv. actinidiae ICMP 19101,Pseudomonas syringae
AOKN01,Pseudomonas syringae pv. actinidiae ICMP 19097,Pseudomonas syringae
AOKQ01,Pseudomonas syringae pv. actinidiae ICMP 18801,Pseudomonas syringae
AOXC01,Salmonella enterica subsp. enterica serovar Typhimurium str. AZ 057,Salmonella enterica
AOXD01,Salmonella enterica subsp. enterica serovar Typhimurium str. ST4581,Salmonella enterica
AOXO01,Salmonella enterica subsp. enterica serovar Typhimurium str. SARA13,Salmonella enterica
APAA01,Salmonella enterica subsp. enterica serovar Anatum str. USDA 100,Salmonella enterica
APNP01,Campylobacter jejuni subsp. jejuni ICDCCJ07002,Campylobacter jejuni
APNQ01,Campylobacter jejuni subsp. jejuni ICDCCJ07004,Campylobacter jejuni
APXL01,Escherichia coli BCE008_MS-01,Escherichia coli
APXM01,Escherichia coli BCE011_MS-01,Escherichia coli
APXN01,Escherichia coli BCE030_MS-09,Escherichia coli
APXO01,Escherichia coli BCE032_MS-12,Escherichia coli
APZM01,Escherichia coli BCE006_MS-23,Escherichia coli
AQCX01,Escherichia coli C-34666,Escherichia coli
AQCY01,Escherichia coli BCE034_MS-14,Escherichia coli
AQCZ01,Escherichia coli BCE019_MS-13,Escherichia coli
AQDA01,Escherichia coli BCE002_MS12,Escherichia coli
AQFI01,Escherichia coli BCE008_MS-13,Escherichia coli
AQFJ01,Escherichia coli BCE007_MS-11,Escherichia coli
AQFK01,Escherichia coli BCE001_MS16,Escherichia coli
AQIS01,Brucella abortus 544,Brucella abortus
AROB01,Salmonella enterica subsp. enterica serovar Typhimurium str. L945,Salmonella enterica
AROC01,Salmonella enterica subsp. enterica serovar Typhimurium str. L852,Salmonella enterica
AROD01,Salmonella enterica subsp. enterica serovar Typhimurium str. L927,Salmonella enterica
AROE01,Salmonella enterica subsp. enterica serovar Typhimurium str. L904,Salmonella enterica
AROF01,Salmonella enterica subsp. enterica serovar Typhimurium str. L796,Salmonella enterica
AROG01,Salmonella enterica subsp. enterica serovar Typhimurium str. L847,Salmonella enterica
ARYE01,Campylobacter jejuni subsp. jejuni HN-CJD07035,Campylobacter jejuni
